ddl_dml_name,ddl_dml_page_name,ddl_dml_url,ddl_dml_category_array,ddl_dml_category,ddl_dml_description
alter,alter,https://docs.snowflake.com/en/sql-reference/sql/alter,ddl,ddl,"Modifies the metadata of an account-level or database object, or the parameters for a session."
alter account,alter-account,https://docs.snowflake.com/en/sql-reference/sql/alter-account,ddl,ddl,Modifies an account.
alter aggregation policy,alter-aggregation-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-aggregation-policy,ddl,ddl,Replaces the existing rules or comment of an aggregation policy.
alter alert,alter-alert,https://docs.snowflake.com/en/sql-reference/sql/alter-alert,ddl,ddl,Modifies the properties of an existing alert and suspends or resumes an existing alert.
alter api integration,alter-api-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-api-integration,ddl,ddl,Modifies the properties of an existing API integration.
alter application,alter-application,https://docs.snowflake.com/en/sql-reference/sql/alter-application,ddl,ddl,Modifies the properties of an installed
alter application package,alter-application-package,https://docs.snowflake.com/en/sql-reference/sql/alter-application-package,ddl,ddl,Modifies the properties of an existing application package in the Native Apps Framework.
alter application role,alter-application-role,https://docs.snowflake.com/en/sql-reference/sql/alter-application-role,ddl,ddl,Modifies the properties for an existing application role.
alter authentication policy,alter-authentication-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-authentication-policy,ddl,ddl,Modifies the properties of an authentication policy.
alter catalog integration,alter-catalog-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-catalog-integration,ddl,ddl,Modifies the properties of an existing catalog integration.
alter compute pool,alter-compute-pool,https://docs.snowflake.com/en/sql-reference/sql/alter-compute-pool,ddl,ddl,Modifies the properties of an existing compute pool.
alter connection,alter-connection,https://docs.snowflake.com/en/sql-reference/sql/alter-connection,ddl,ddl,Modifies the properties for an existing connection.
alter cortex search service,alter-cortex-search,https://docs.snowflake.com/en/sql-reference/sql/alter-cortex-search,ddl,ddl,"Suspends, resumes, or modifies the properties of an existing Cortex Search service."
alter database,alter-database,https://docs.snowflake.com/en/sql-reference/sql/alter-database,ddl,ddl,Modifies the properties for an existing database.
alter database role,alter-database-role,https://docs.snowflake.com/en/sql-reference/sql/alter-database-role,ddl,ddl,Modifies the properties for an existing database role.
alter dataset,alter-dataset,https://docs.snowflake.com/en/sql-reference/sql/alter-dataset,ddl,ddl,Modifies a dataset by adding or dropping dataset versions.
alter dynamic table,alter-dynamic-table,https://docs.snowflake.com/en/sql-reference/sql/alter-dynamic-table,ddl,ddl,Modifies the properties of a dynamic table.
alter external access integration,alter-external-access-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-external-access-integration,ddl,ddl,Modifies the properties of an existing external access integration.
alter external table,alter-external-table,https://docs.snowflake.com/en/sql-reference/sql/alter-external-table,ddl,ddl,"Modifies the properties, columns, or constraints for an existing external table."
alter external volume,alter-external-volume,https://docs.snowflake.com/en/sql-reference/sql/alter-external-volume,ddl,ddl,Modifies the properties for an existing external volume.
alter failover group,alter-failover-group,https://docs.snowflake.com/en/sql-reference/sql/alter-failover-group,ddl,ddl,Modifies the properties for an existing failover group.
alter file format,alter-file-format,https://docs.snowflake.com/en/sql-reference/sql/alter-file-format,ddl,ddl,Modifies the properties for an existing file format object.
alter function,alter-function,https://docs.snowflake.com/en/sql-reference/sql/alter-function,ddl,ddl,Modifies the properties of an existing user-defined or external function.
alter git repository,alter-git-repository,https://docs.snowflake.com/en/sql-reference/sql/alter-git-repository,ddl,ddl,Modifies the properties of an existing Git repository stage.
alter iceberg table,alter-iceberg-table,https://docs.snowflake.com/en/sql-reference/sql/alter-iceberg-table,ddl,ddl,Modifies properties such as clustering options and tags for an existing Apache Iceberg™ table.
alter integration,alter-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-integration,ddl,ddl,Modifies the properties for an existing integration.
alter join policy,alter-join-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-join-policy,ddl,ddl,Replaces the existing rules or comment for a join policy.
alter listing,alter-listing,https://docs.snowflake.com/en/sql-reference/sql/alter-listing,ddl,ddl,"Modifies the properties of a listings with an inline YAML manifest, or from a file located in a stage location."
alter masking policy,alter-masking-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-masking-policy,ddl,ddl,Replaces the existing masking policy rules with new rules or a new comment and allows the renaming of a masking policy.
alter materialized view,alter-materialized-view,https://docs.snowflake.com/en/sql-reference/sql/alter-materialized-view,ddl,ddl,Alters a materialized view in the current/specified schema.
alter model,alter-model,https://docs.snowflake.com/en/sql-reference/sql/alter-model,ddl,ddl,"Modifies the properties for an existing model, including its name, tags, default version, or comment."
alter model monitor,alter-model-monitor,https://docs.snowflake.com/en/sql-reference/sql/alter-model-monitor,ddl,ddl,Modifies the properties of a model monitor.
alter network policy,alter-network-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-network-policy,ddl,ddl,Modifies the properties for an existing network policy.
alter network rule,alter-network-rule,https://docs.snowflake.com/en/sql-reference/sql/alter-network-rule,ddl,ddl,Modifies an existing network rule.
alter notebook,alter-notebook,https://docs.snowflake.com/en/sql-reference/sql/alter-notebook,ddl,ddl,Modifies the properties of an existing notebook.
alter notification integration,alter-notification-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-notification-integration,ddl,ddl,Modifies the properties for an existing notification integration.
alter organization account,alter-organization-account,https://docs.snowflake.com/en/sql-reference/sql/alter-organization-account,ddl,ddl,Modifies the properties of an existing organization account.
alter organization profile,alter-organization-profile,https://docs.snowflake.com/en/sql-reference/sql/alter-organization-profile,ddl,ddl,Modifies the properties of an organization profile.
alter packages policy,alter-packages-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-packages-policy,ddl,ddl,Modifies the properties for an existing packages policy.
alter password policy,alter-password-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-password-policy,ddl,ddl,Modifies the properties for an existing password policy.
alter pipe,alter-pipe,https://docs.snowflake.com/en/sql-reference/sql/alter-pipe,ddl,ddl,Modifies a limited set of properties for an existing pipe object.
alter privacy policy,alter-privacy-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-privacy-policy,ddl,ddl,Modifies the properties of an existing privacy policy.
alter procedure,alter-procedure,https://docs.snowflake.com/en/sql-reference/sql/alter-procedure,ddl,ddl,Modifies the properties for an existing stored procedure.
alter projection policy,alter-projection-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-projection-policy,ddl,ddl,Replaces the existing projection policy rules with new rules or a new comment and allows the renaming of a projection policy.
alter replication group,alter-replication-group,https://docs.snowflake.com/en/sql-reference/sql/alter-replication-group,ddl,ddl,Modifies the properties for an existing replication group.
alter resource monitor,alter-resource-monitor,https://docs.snowflake.com/en/sql-reference/sql/alter-resource-monitor,ddl,ddl,Modifies the properties and triggers for an existing resource monitor.
alter role,alter-role,https://docs.snowflake.com/en/sql-reference/sql/alter-role,ddl,ddl,Modifies the properties for an existing custom role.
alter row access policy,alter-row-access-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-row-access-policy,ddl,ddl,"Modifies the properties for an existing row access policy, including renaming the policy or replacing the policy rules."
alter schema,alter-schema,https://docs.snowflake.com/en/sql-reference/sql/alter-schema,ddl,ddl,"Modifies the properties for an existing schema, including renaming the schema or swapping it with another schema, and changing the Time Travel data retention period (if you are using Snowflake Enterprise Edition or higher)."
alter secret,alter-secret,https://docs.snowflake.com/en/sql-reference/sql/alter-secret,ddl,ddl,Modifies the properties of an existing secret.
alter security integration,alter-security-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-security-integration,ddl,ddl,Modifies the properties for an existing security integration.
alter sequence,alter-sequence,https://docs.snowflake.com/en/sql-reference/sql/alter-sequence,ddl,ddl,Modifies the properties for an existing sequence.
alter service,alter-service,https://docs.snowflake.com/en/sql-reference/sql/alter-service,ddl,ddl,"Modifies Snowpark Container Services service configuration, upgrades the code for the service, and allows you to suspend or resume a service."
alter session,alter-session,https://docs.snowflake.com/en/sql-reference/sql/alter-session,ddl,ddl,Sets parameters that change the behavior for the current session.
alter session policy,alter-session-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-session-policy,ddl,ddl,Modifies the properties for an existing session policy.
alter share,alter-share,https://docs.snowflake.com/en/sql-reference/sql/alter-share,ddl,ddl,Modifies the properties for an existing share.
alter snapshot,alter-snapshot,https://docs.snowflake.com/en/sql-reference/sql/alter-snapshot,ddl,ddl,Modifies the properties of an existing snapshot.
alter stage,alter-stage,https://docs.snowflake.com/en/sql-reference/sql/alter-stage,ddl,ddl,Modifies the properties for an existing named internal or external stage.
alter storage integration,alter-storage-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-storage-integration,ddl,ddl,Modifies the properties for an existing storage integration.
alter stream,alter-stream,https://docs.snowflake.com/en/sql-reference/sql/alter-stream,ddl,ddl,"Modifies the properties, columns, or constraints for an existing stream."
alter streamlit,alter-streamlit,https://docs.snowflake.com/en/sql-reference/sql/alter-streamlit,ddl,ddl,Modifies the properties of an existing Streamlit object.
alter table,alter-table,https://docs.snowflake.com/en/sql-reference/sql/alter-table,ddl,ddl,"Modifies the properties, columns, or constraints for an existing table."
alter table … alter column,alter-table-column,https://docs.snowflake.com/en/sql-reference/sql/alter-table-column,ddl,ddl,This topic describes how to modify one or more column properties for a table using an ALTER COLUMN clause in a ALTER TABLE statement.
alter tag,alter-tag,https://docs.snowflake.com/en/sql-reference/sql/alter-tag,ddl,ddl,"Modifies the properties for an existing tag, including renaming the tag and setting a masking policy on a tag."
alter task,alter-task,https://docs.snowflake.com/en/sql-reference/sql/alter-task,ddl,ddl,Modifies the properties for an existing task.
alter user,alter-user,https://docs.snowflake.com/en/sql-reference/sql/alter-user,ddl,ddl,Modifies the properties and object/session parameters for an existing user in the system.
alter view,alter-view,https://docs.snowflake.com/en/sql-reference/sql/alter-view,ddl,ddl,Modifies the properties for an existing view.
alter warehouse,alter-warehouse,https://docs.snowflake.com/en/sql-reference/sql/alter-warehouse,ddl,ddl,"Suspends or resumes a virtual warehouse, or aborts all queries (and other SQL statements) for a warehouse."
begin,begin,https://docs.snowflake.com/en/sql-reference/sql/begin,ddl,ddl,Begins a transaction in the current session.
call,call,https://docs.snowflake.com/en/sql-reference/sql/call,ddl,ddl,Calls a stored procedure.
comment,comment,https://docs.snowflake.com/en/sql-reference/sql/comment,ddl,ddl,Adds a comment or overwrites an existing comment for an existing object.
commit,commit,https://docs.snowflake.com/en/sql-reference/sql/commit,ddl,ddl,Commits an open transaction in the current session.
copy files,copy-files,https://docs.snowflake.com/en/sql-reference/sql/copy-files,ddl,ddl,Copy files from a source stage to an output stage.
copy into,copy-into-table,https://docs.snowflake.com/en/sql-reference/sql/copy-into-table,ddl,ddl,Loads data from files to an existing table.
create,create,https://docs.snowflake.com/en/sql-reference/sql/create,ddl,ddl,Creates a new object of the specified type.
create account,create-account,https://docs.snowflake.com/en/sql-reference/sql/create-account,ddl,ddl,Creates a new account in your organization.
create aggregation policy,create-aggregation-policy,https://docs.snowflake.com/en/sql-reference/sql/create-aggregation-policy,ddl,ddl,Creates a new aggregation policy in the current/specified schema or replaces an existing aggregation policy.
create alert,create-alert,https://docs.snowflake.com/en/sql-reference/sql/create-alert,ddl,ddl,Creates a new alert in the current schema.
create api integration,create-api-integration,https://docs.snowflake.com/en/sql-reference/sql/create-api-integration,ddl,ddl,Creates a new API integration object in the account or replaces an existing API integration.
create application,create-application,https://docs.snowflake.com/en/sql-reference/sql/create-application,ddl,ddl,Creates a new application object using an application package or listing.
create application package,create-application-package,https://docs.snowflake.com/en/sql-reference/sql/create-application-package,ddl,ddl,Creates a new application package that contains the data content and application logic of
create application role,create-application-role,https://docs.snowflake.com/en/sql-reference/sql/create-application-role,ddl,ddl,Creates a new application role or replaces an existing application role.
create authentication policy,create-authentication-policy,https://docs.snowflake.com/en/sql-reference/sql/create-authentication-policy,ddl,ddl,Creates a new authentication policy in the current or specified schema or replaces an existing authentication policy.
create catalog integration,create-catalog-integration,https://docs.snowflake.com/en/sql-reference/sql/create-catalog-integration,ddl,ddl,Creates a new catalog integration for Apache Iceberg™ tables in the account or replaces an existing catalog integration.
create compute pool,create-compute-pool,https://docs.snowflake.com/en/sql-reference/sql/create-compute-pool,ddl,ddl,Creates a new compute pool in the current account.
create connection,create-connection,https://docs.snowflake.com/en/sql-reference/sql/create-connection,ddl,ddl,Creates a new connection in the account.
create cortex search service,create-cortex-search,https://docs.snowflake.com/en/sql-reference/sql/create-cortex-search,ddl,ddl,Creates a new Cortex Search service or replaces an existing one.
create data metric function,create-data-metric-function,https://docs.snowflake.com/en/sql-reference/sql/create-data-metric-function,ddl,ddl,"Creates a new data metric function (DMF) in the current or specified schema, or replaces an existing data metric function."
create database,create-database,https://docs.snowflake.com/en/sql-reference/sql/create-database,ddl,ddl,Creates a new database in the system.
create database role,create-database-role,https://docs.snowflake.com/en/sql-reference/sql/create-database-role,ddl,ddl,Create a new database role or replace an existing database role in the system.
create dataset,create-dataset,https://docs.snowflake.com/en/sql-reference/sql/create-dataset,ddl,ddl,Creates a new dataset in the current schema or the schema that you specify.
create dynamic table,create-dynamic-table,https://docs.snowflake.com/en/sql-reference/sql/create-dynamic-table,ddl,ddl,"Creates a dynamic table, based on a specified query."
create event table,create-event-table,https://docs.snowflake.com/en/sql-reference/sql/create-event-table,ddl,ddl,"Creates an event table that captures events, including logged messages from functions and procedures."
create external access integration,create-external-access-integration,https://docs.snowflake.com/en/sql-reference/sql/create-external-access-integration,ddl,ddl,Creates an external access integration for access to external network locations from a UDF or procedure handler.
create external function,create-external-function,https://docs.snowflake.com/en/sql-reference/sql/create-external-function,ddl,ddl,Creates a new external function.
create external table,create-external-table,https://docs.snowflake.com/en/sql-reference/sql/create-external-table,ddl,ddl,Creates a new external table in the current/specified schema or replaces an existing external table.
create external volume,create-external-volume,https://docs.snowflake.com/en/sql-reference/sql/create-external-volume,ddl,ddl,Creates a new external volume for Apache Iceberg™ tables in the account or replaces an existing external volume.
create failover group,create-failover-group,https://docs.snowflake.com/en/sql-reference/sql/create-failover-group,ddl,ddl,Creates a new failover group of specified objects in the system.
create file format,create-file-format,https://docs.snowflake.com/en/sql-reference/sql/create-file-format,ddl,ddl,Creates a named file format that describes a set of staged data to access or load into Snowflake tables.
create function,create-function,https://docs.snowflake.com/en/sql-reference/sql/create-function,ddl,ddl,Creates a new UDF (user-defined function).
create git repository,create-git-repository,https://docs.snowflake.com/en/sql-reference/sql/create-git-repository,ddl,ddl,Creates a Git repository stage in the schema or replaces an existing Git repository stage.
create hybrid table,create-hybrid-table,https://docs.snowflake.com/en/sql-reference/sql/create-hybrid-table,ddl,ddl,Creates a new hybrid table in the current/specified schema or replaces an existing table.
create iceberg table,create-iceberg-table,https://docs.snowflake.com/en/sql-reference/sql/create-iceberg-table,ddl,ddl,Creates or replaces an Apache Iceberg™ table in the current/specified schema.
create image repository,create-image-repository,https://docs.snowflake.com/en/sql-reference/sql/create-image-repository,ddl,ddl,Creates a new image repository in the current schema.
create index,create-index,https://docs.snowflake.com/en/sql-reference/sql/create-index,ddl,ddl,Creates a new secondary index in an existing hybrid table and populates the index with data.
create integration,create-integration,https://docs.snowflake.com/en/sql-reference/sql/create-integration,ddl,ddl,Creates a new integration in the system or replaces an existing integration.
create join policy,create-join-policy,https://docs.snowflake.com/en/sql-reference/sql/create-join-policy,ddl,ddl,Creates a new join policy in the current/specified schema or replaces an existing join policy.
create listing,create-listing,https://docs.snowflake.com/en/sql-reference/sql/create-listing,ddl,ddl,"Create a free listing to share directly with specific consumers, with an inline YAML manifest, or from a file located in a stage location."
create managed account,create-managed-account,https://docs.snowflake.com/en/sql-reference/sql/create-managed-account,ddl,ddl,Creates a new managed account.
create masking policy,create-masking-policy,https://docs.snowflake.com/en/sql-reference/sql/create-masking-policy,ddl,ddl,Creates a new masking policy in the current/specified schema or replaces an existing masking policy.
create materialized view,create-materialized-view,https://docs.snowflake.com/en/sql-reference/sql/create-materialized-view,ddl,ddl,"Creates a new materialized view in the current/specified schema, based on a query of an existing table, and populates the view with data."
create model,create-model,https://docs.snowflake.com/en/sql-reference/sql/create-model,ddl,ddl,Creates a new machine learning model in the current/specified schema or replaces an existing model.
create model monitor,create-model-monitor,https://docs.snowflake.com/en/sql-reference/sql/create-model-monitor,ddl,ddl,Create or replace a model monitor in the current or specified schema.
create network policy,create-network-policy,https://docs.snowflake.com/en/sql-reference/sql/create-network-policy,ddl,ddl,Creates a network policy or replaces an existing network policy.
create network rule,create-network-rule,https://docs.snowflake.com/en/sql-reference/sql/create-network-rule,ddl,ddl,Creates a network rule or replaces an existing network rule.
create notebook,create-notebook,https://docs.snowflake.com/en/sql-reference/sql/create-notebook,ddl,ddl,Creates a new Snowflake notebook or replaces an existing notebook.
create notification integration,create-notification-integration,https://docs.snowflake.com/en/sql-reference/sql/create-notification-integration,ddl,ddl,Creates a new notification integration in the account or replaces an existing integration.
create or alter,create-or-alter,https://docs.snowflake.com/en/sql-reference/sql/create-or-alter,ddl,ddl,"CREATE OR ALTER commands are DDL commands that combine the functionality of the CREATE command and the ALTER command, enabling you to define an object using the syntax supported by the CREATE command with the limitations of the ALTER command."
create organization account,create-organization-account,https://docs.snowflake.com/en/sql-reference/sql/create-organization-account,ddl,ddl,Creates a new organization account.
create organization listing,create-organization-listing,https://docs.snowflake.com/en/sql-reference/sql/create-organization-listing,ddl,ddl,Create an organization listing to share data products securely within your organization.
create organization profile,create-organization-profile,https://docs.snowflake.com/en/sql-reference/sql/create-organization-profile,ddl,ddl,Create the organization profile that forms part of the Uniform Listing Locator (ULL) used to publish organizational listings or query organizational listing information without mounting the listing.
create packages policy,create-packages-policy,https://docs.snowflake.com/en/sql-reference/sql/create-packages-policy,ddl,ddl,Creates a new packages policy or replaces an existing packages policy.
create password policy,create-password-policy,https://docs.snowflake.com/en/sql-reference/sql/create-password-policy,ddl,ddl,Creates a new password policy or replaces an existing password policy.
create pipe,create-pipe,https://docs.snowflake.com/en/sql-reference/sql/create-pipe,ddl,ddl,Creates a new pipe in the system for defining the COPY INTO <table> statement used by Snowpipe to load data from an ingestion queue into tables.
create privacy policy,create-privacy-policy,https://docs.snowflake.com/en/sql-reference/sql/create-privacy-policy,ddl,ddl,Creates a new privacy policy or replaces an existing privacy policy.
create procedure,create-procedure,https://docs.snowflake.com/en/sql-reference/sql/create-procedure,ddl,ddl,Creates a new stored procedure.
create projection policy,create-projection-policy,https://docs.snowflake.com/en/sql-reference/sql/create-projection-policy,ddl,ddl,Creates a new projection policy in the current/specified schema or replaces an existing projection policy.
create provisioned throughput,create-provisioned-throughput,https://docs.snowflake.com/en/sql-reference/sql/create-provisioned-throughput,ddl,ddl,Creates a new Provisioned Throughput resource or replaces an existing one.
create replication group,create-replication-group,https://docs.snowflake.com/en/sql-reference/sql/create-replication-group,ddl,ddl,Creates a new replication group of specified objects in the system.
create resource monitor,create-resource-monitor,https://docs.snowflake.com/en/sql-reference/sql/create-resource-monitor,ddl,ddl,Creates a new resource monitor.
create role,create-role,https://docs.snowflake.com/en/sql-reference/sql/create-role,ddl,ddl,Create a new role or replace an existing role in the system.
create row access policy,create-row-access-policy,https://docs.snowflake.com/en/sql-reference/sql/create-row-access-policy,ddl,ddl,Creates a new row access policy in the current/specified schema or replaces an existing row access policy.
create schema,create-schema,https://docs.snowflake.com/en/sql-reference/sql/create-schema,ddl,ddl,Creates a new schema in the current database.
create secret,create-secret,https://docs.snowflake.com/en/sql-reference/sql/create-secret,ddl,ddl,Creates a new secret in the current or specified schema or replaces an existing secret.
create security integration,create-security-integration,https://docs.snowflake.com/en/sql-reference/sql/create-security-integration,ddl,ddl,Creates a new security integration in the account or replaces an existing integration.
create semantic view,create-semantic-view,https://docs.snowflake.com/en/sql-reference/sql/create-semantic-view,ddl,ddl,Creates a new semantic view in the current/specified schema.
create sequence,create-sequence,https://docs.snowflake.com/en/sql-reference/sql/create-sequence,ddl,ddl,"Creates a new sequence, which can be used for generating sequential, unique numbers."
create service,create-service,https://docs.snowflake.com/en/sql-reference/sql/create-service,ddl,ddl,Creates a new Snowpark Container Services service in the current schema.
create session policy,create-session-policy,https://docs.snowflake.com/en/sql-reference/sql/create-session-policy,ddl,ddl,Creates a new session policy or replaces an existing session policy.
create share,create-share,https://docs.snowflake.com/en/sql-reference/sql/create-share,ddl,ddl,"Creates a new, empty share."
create snapshot,create-snapshot,https://docs.snowflake.com/en/sql-reference/sql/create-snapshot,ddl,ddl,Creates or replaces a snapshot of a named volume from the specified service instance.
create stage,create-stage,https://docs.snowflake.com/en/sql-reference/sql/create-stage,ddl,ddl,Creates a new named internal or external stage to use for loading data from files into Snowflake tables and unloading data from tables into files.
